Tool	Platform	Citations	MainCategories	SubCategories	Description	DOI	Journal	Status	Code	Added	Updated	Maintained	Methodology	Omics	Date	License	Activity	Responsiveness	DateSort	Stars	Abstract	Dependency	Baseline	Title	Methscore	Sequencingscore	Reviewscore	Preprint	Dataset	Reference	Tissue
Wang2022	HTML, Python, R	0	sequencing technology & application	sequencing application	We integrate information from measurements of chromatin activity, gene expression and function in single beta cells with genetic association data to identify disease-causal gene regulatory changes in T2D.	10.1101/2022.12.31.522386	Preprint	Preprint	https://github.com/gaoweiwang/Islet_snATACseq	2023.01.09	2023.01.09	2022.09.23	not applicable	CAS	2022.12.31	None	0		2	0	Altered function and gene regulation of pancreatic islet beta cells is a hallmark of type 2 diabetes (T2D), but a comprehensive understanding of mechanisms driving T2D is still missing. Here we integrate information from measurements of chromatin activity, gene expression and function in single beta cells with genetic association data to identify disease-causal gene regulatory changes in T2D. Using machine learning on chromatin accessibility data from 34 non-diabetic, pre-T2D and T2D donors, we robustly identify two transcriptionally and functionally distinct beta cell subtypes that undergo an abundance shift in T2D. Subtype-defining active chromatin is enriched for T2D risk variants, suggesting a causal contribution of subtype identity to T2D. Both subtypes exhibit activation of a stress-response transcriptional program and functional impairment in T2D, which is likely induced by the T2D-associated metabolic environment. Our findings demonstrate the power of multimodal single-cell measurements combined with machine learning for identifying mechanisms of complex diseases.	None	None	Integration of single-cell multiomic measurements across disease states with genetics identifies mechanisms of beta cell dysfunction in type 2 diabetes	4.136668315	3.648133073	4.4259583	10.1101/2022.12.31.522386	1	Wang G, Chiou J, Zeng C, Miller M, Matta I, Han JY, Kadakia N, Okino ML, Beebe E, Mallick M, Camunas-Soler J. Integration of single-cell multiomic measurements across disease states with genetics identifies mechanisms of beta cell dysfunction in type 2 diabetes. bioRxiv. 2023 Jan 1:2022-12.	Homo sapiens, islet
Spatial ATAC	R	0	sequencing technology & application	sequencing technology	Spatial ATAC is a method that integrates transposase-accessible chromatin profiling in tissue sections with barcoded solid-phase capture to perform spatially resolved epigenomics.	10.1038/s41587-022-01603-9	Nature Biotechnology	Published	https://github.com/marzamKI/spatial_atac	2023.01.09	2023.01.09	2022.09.20	not applicable	CAS	2023.01.05	MIT	0		1	1	Current methods for epigenomic profiling are limited in their ability to obtain genome-wide information with spatial resolution. We introduce spatial ATAC, a method that integrates transposase-accessible chromatin profiling in tissue sections with barcoded solid-phase capture to perform spatially resolved epigenomics. We show that spatial ATAC enables the discovery of the regulatory programs underlying spatial gene expression during mouse organogenesis, lineage differentiation and in human pathology.	None	None	Solid-phase capture and profiling of open chromatin by spatial ATAC	5.154894412	4.280484304	4.575413965	None	1	Llorens-Bobadilla E, Zamboni M, Marklund M, Bhalla N, Chen X, Hartman J, Frisén J, L Ståhl P. Solid-phase capture and profiling of open chromatin by spatial ATAC. Nature Biotechnology. 2023 Jan 5:1-1.	Mus musculus, developing mouse embryo
scONE-seq	R, Shell	0	sequencing technology & application	sequencing technology	scONE-seq is a versatile scWGS-RNA-seq method that amplifies single-cell DNA and RNA without separating them from each other and hence is compatible with frozen biobanked samples.	10.1126/sciadv.abp8901	Science Advances	Published	https://github.com/0YuLei0/scONE-seq-data-processing	2023.01.09	2023.01.09	2022.01.01	not applicable	CAS	2023.01.04	None	0		1	0	Single-cell multi-omics can provide a unique perspective on tumor cellular heterogeneity. Most previous single-cell whole-genome RNA sequencing (scWGS-RNA-seq) methods demonstrate utility with intact cells from fresh samples. Among them, many are not applicable to frozen samples that cannot produce intact single-cell suspensions. We have developed scONE-seq, a versatile scWGS-RNA-seq method that amplifies single-cell DNA and RNA without separating them from each other and hence is compatible with frozen biobanked samples. We benchmarked scONE-seq against existing methods using fresh and frozen samples to demonstrate its performance in various aspects. We identified a unique transcriptionally normal-like tumor clone by analyzing a 2-year frozen astrocytoma sample, demonstrating that performing single-cell multi-omics interrogation on biobanked tissue by scONE-seq could enable previously unidentified discoveries in tumor biology.	fastp, pigz, cutadapt, bbmap, bwa, samtools, bedtools, umi_tools, star, kallisto, salmon, qualimap, seqkit, seqtk	None	scONE-seq: A single-cell multi-omics method enables simultaneous dissection of phenotype and genotype heterogeneity from frozen tumors	4.166248952	4.377570576	4.768960322	None	2	Yu L, Wang X, Mu Q, Tam SS, Loi DS, Chan AK, Poon WS, Ng HK, Chan DT, Wang J, Wu AR. scONE-seq: A single-cell multi-omics method enables simultaneous dissection of phenotype and genotype heterogeneity from frozen tumors. Science Advances. 2023 Jan 4;9(1):eabp8901.	Homo sapiens, lymphcytes from PBMC; Homo sapiens, glioblastoma
VIMCCA	Python	0	dimensionality reduction, multi-omics integration	dimensionality reduction, multi-omics integration (scRNA-seq, scATAC-seq, protein)	VIMCCA is a computational framework based on variational-assisted multi-view canonical correlation analysis to integrate paired multimodal single-cell data.	10.1093/bioinformatics/btad005	Bioinformatics	Published	https://github.com/jhu99/scbean	2023.01.11	2023.01.11	2022.12.11	variational inference, canonical correlation analysis	CAS	2023.01.09	MIT	0		1	6	Motivation: Single-cell multimodal assays allow us to simultaneously measure two different molecular features of the same cell, enabling new insights into cellular heterogeneity, cell development, and diseases. However, most existing methods suffer from inaccurate dimensionality reduction for the joint-modality data, hindering their discovery of novel or rare cell subpopulations. Results: Here, we present VIMCCA, a computational framework based on variational-assisted multi-view canonical correlation analysis to integrate paired multimodal single-cell data. Our statistical model uses a common latent variable to interpret the common source of variances in two different data modalities. Our approach jointly learns an inference model and two modality-specific non-linear models by leveraging variational inference and deep learning. We perform VIMCCA and compare it with ten existing state-of-the-art algorithms on four paired multi-modal datasets sequenced by different protocols. Results demonstrate that VIMCCA facilitates integrating various types of joint-modality data, thus leading to more reliable and accurate downstream analysis. VIMCCA improves our ability to identify novel or rare cell subtypes compared to existing widely used methods. Besides, it can also facilitate inferring cell lineage based on joint-modality profiles.	scanpy, tensorflow, anndata, scipy, pandas, seaborn, keras, python-igraph, louvain, h5py	PCA, scVAE, scVI, PeakVI, scMVAE, Cobolt	A multi-view latent variable model reveals cellular heterogeneity in complex tissues for paired multimodal single-cell data 	13.25684722	8.780057597	9.189808853	None	2	Wang Y, Lian B, Zhang H, Zhong Y, He J, Wu F, Reinert K, Shang X, Yang H, Hu J. A multi-view latent variable model reveals cellular heterogeneity in complex tissues for paired multimodal single-cell data. Bioinformatics. 2023 Jan 9.	None
Chen2021	R, Python	2	sequencing technology & application	sequencing application	We used scATAC-seq to generate a valuable epigenetic compendium of the mOB.	10.1016/j.jgg.2021.02.007	Journal of Genetics and Genomics	Published	https://github.com/barwe/mmob_atac	2023.01.11	2023.01.11	2020.09.25	not applicable	CAS	2021.02.20	None	0		3	0	Olfaction, the sense of smell, is a fundamental trait crucial to many species. The olfactory bulb (OB) plays pivotal roles in processing and transmitting odor information from the environment to the brain. The cellular heterogeneity of the mouse OB has been studied using single-cell RNA sequencing. However, the epigenetic landscape of the mOB remains mostly unexplored. Herein, we apply single-cell assay for transposase-accessible chromatin sequencing to profile the genome-wide chromatin accessibility of 9,549 single cells from the mOB. Based on single-cell epigenetic signatures, mOB cells are classified into 21 clusters corresponding to 11 cell types. We identify distinct sets of putative regulatory elements specific to each cell cluster from which putative target genes and enriched potential functions are inferred. In addition, the transcription factor motifs enriched in each cell cluster are determined to indicate the developmental fate of each cell lineage. Our study provides a valuable epigenetic data set for the mOB at single-cell resolution, and the results can enhance our understanding of regulatory circuits and the therapeutic capacity of the OB at the single-cell level.	None	None	A single-cell atlas of mouse olfactory bulb chromatin accessibility	2.72627231	2.573867002	2.90024909	None	1	Chen Y, Ding X, Wang S, Ding P, Xu Z, Li J, Wang M, Xiang R, Wang X, Wang H, Feng Q. A single-cell atlas of mouse olfactory bulb chromatin accessibility. Journal of Genetics and Genomics. 2021 Feb 20;48(2):147-62.	Mus musculus, olfactory bulb
Sgootr	R, Python	1	other	single-cell lineage tracing	The first principled distance-based computational method for inferring a tumor’s single-cell methylation lineage tree and jointly identifying lineage-informative CpG sites which harbor changes in methylation status that are retained along the lineage.	10.1101/2021.03.22.436475	Preprint	Preprint	https://github.com/algo-cancer/Sgootr	2023.03.01	2023.03.01	2023.01.03	robinson-foulds (rf) distance	Meth	2023.01.12	None	0		1	0	Recent studies exploring the impact of methylation in tumor evolution suggest that while the methylation status of many of the CpG sites are preserved across distinct lineages, others are altered as the cancer progresses. Since changes in methylation status of a CpG site may be retained in mitosis, they could be used to infer the progression history of a tumor via single-cell lineage tree reconstruction. In this work, we introduce the first principled distance-based computational method, Sgootr, for inferring a tumor’s single-cell methylation lineage tree and jointly identifying lineage-informative CpG sites which harbor changes in methylation status that are retained along the lineage. We apply Sgootr on the single-cell bisulfite-treated whole genome sequencing data of multiregionally-sampled tumor cells from 9 metastatic colorectal cancer patients made available by Bian et al., as well as multiregionally-sampled single-cell reduced-representation bisulfite sequencing data from a glioblastoma patient made available by Chaligne et al.. We demonstrate that the tumor lineages constructed reveal a simple model underlying colorectal tumor progression and metastatic seeding. A comparison of Sgootr against alternative approaches shows that Sgootr can construct lineage trees with fewer migration events and more in concordance with the sequential-progression model of tumor evolution, in time a fraction of that used in prior studies. Interestingly, lineage-informative CpG sites identified by Sgootr are in inter-CpG island (CGI) regions, as opposed to CGI’s, which have been the main regions of interest in genomic methylation-related analyses. Sgootr is implemented as a Snakemake workflow, available at https://github.com/algo-cancer/Sgootr.	scikit-learn, scipy, numpy, pandas	IQ-TREE, FG+IQ-TREE	Single-cell methylation sequencing data reveal succinct metastatic migration histories and tumor progression models	7.423328206	8.097433579	7.949172519	10.1101/2021.03.22.436475	6	Li XC, Liu Y, Mehrabadi FR, Malikić S, Mount SM, Ruppin E, Aldape K, Sahinalp SC. Single-cell methylation sequencing data reveal succinct metastatic migration histories and tumor progression models. bioRxiv. 2021 Mar 22:2021-03.	None
Wang2023	None	0	review	review (analysis method)	We systematically benchmarked ten GSS tools, including four bulk RNA-seq 36 tools, five single-cell RNA-seq (scRNA-seq) tools, and one scATAC-seq method.	10.1101/2023.01.14.524081	Preprint	Preprint		2023.03.01	2023.03.01		not applicable	CAS	2023.01.17	None			1		Gene set scoring (GSS) has been routinely conducted for gene expression analysis of bulk or single-cell RNA-seq data, which helps to decipher single-cell heterogeneity and cell-type-specific variability by incorporating prior knowledge from functional gene sets. Single-cell assay for transposase accessible chromatin using sequencing (scATAC-seq) is a powerful technique for interrogating single-cell chromatin-based gene regulation, and genes or gene sets with dynamic regulatory potentials can be regarded as cell-type specific markers as if in scRNA-seq. However, there are few GSS tools specifically designed for scATAC-seq, and the applicability and performance of RNA-seq GSS tools on scATAC-seq data remain to be investigated. We systematically benchmarked ten GSS tools, including four bulk RNA-seq tools, five single-cell RNA-seq (scRNA-seq) tools, and one scATAC-seq method. First, using matched scATAC-seq and scRNA-seq datasets, we find that the performance of GSS tools on scATAC-seq data is comparable to that on scRNA-seq, suggesting their applicability to scATAC-seq. Then the performance of different GSS tools were extensively evaluated using up to ten scATAC-seq datasets. Moreover, we evaluated the impact of gene activity conversion, dropout imputation, and gene set collections on the results of GSS. Results show that dropout imputation can significantly promote the performance of almost all GSS tools, while the impact of gene activity conversion methods or gene set collections on GSS performance is more GSS tool or dataset dependent. Finally, we provided practical guidelines for choosing appropriate pre-processing methods and GSS tools in different scenarios.	None	None	Benchmarking Algorithms for Gene Set Scoring of Single-cell ATAC-seq Data	5.86474311	10.48632415	7.72948622	10.1101/2023.01.14.524081	10	Wang X, Lian Q, Dong H, Xu S, Su Y, Wu X. Benchmarking Algorithms for Gene Set Scoring of Single-cell ATAC-seq Data. bioRxiv. 2023:2023-01.	None
CHROMATIX	None	0	other	non-random chromatin interactions indentification	a deep sampling algorithm to generate large ensembles of 3D single-cell chromatin conformations, accurately reproducing both single-cell capture and imaging studies, as well as population Hi-C measurements	10.1016/j.bpj.2022.11.2648	Biophysical Journal	Published		2023.03.01	2023.03.01		not applicable	CIS	2023.02.10	None			1		Three-dimensional structures of chromatin play important roles in gene regulation. Hi-C measurement provided a wealth of information on chromatin interactions. Emerging evidence suggests functional chromatin interactions are related to gene expression. However, gene promoters and their regulatory elements can be separated by 103-106 bp apart. Therefore, examining 3D chromatin conformations and identifying functionally long-range interactions are important for deciphering the structure-function relationship of 3D genome. Our recent work of CHROMATIX deep sampling algorithms can identify non-random chromatin interactions (5-7% of total Hi-C). These can be used to generate large ensembles of 3D single-cell chromatin conformations, accurately reproducing both single-cell capture and imaging studies, as well as population Hi-C measurements. In this study, we examine predicted ensembles of single-cell 3D chromatin conformations of loci among leukemia K562 cells, lymphoblastoid GM12878 cells, and lung fibroblast IMR90 cells. We identified small subsets of non-random chromatin interactions from Hi-C data based on large random ensembles of 3D chromatin chains folded in confined nuclear volume. These non-random interactions were used to generate ensembles of 5.0×104 single-cell 3D conformations for individual loci. We further quantified the heterogeneity of 3D chromatin conformations by clustering, with each spatial cluster and its proportion defined. In addition, we carried out an integrated analysis of RNA-seq, ATAC-seq, and epigenetic data of these cell lines. Results show that cell-specific functional chromatin interactions provide 3D basis for differential gene expression. There are well-defined signatures of 3D subpopulations of chromatin conformations involving distinctive patterns of epigenetic marks, and these signatures are strongly associated with gene differential expression.	None	None	Defining cell-specific physical basis of gene expression and signatures of functional chromatin 3D interactions: integrated analysis of single-cell 3D chromatin models, RNA/ATAC-seq, and epigenetic data	2.101280318	2.801707091	4.202560636	None		Du L, Farooq H, Chronis K, Liang J. Defining cell-specific physical basis of gene expression and signatures of functional chromatin 3D interactions: integrated analysis of single-cell 3D chromatin models, RNA/ATAC-seq, and epigenetic data. Biophysical Journal. 2023 Feb 10;122(3):496a.	None
eNet	R	1	regulatory network inference	regulatory network inference (peak-peak)	We introduce an algorithm, eNet, to build enhancer networks by integrating single-cell chromatin accessibility and gene expression profiles.	10.1093/bib/bbac508	Briefings in Bioinformatics	Published	https://github.com/xmuhuanglab/eNet	2023.03.01	2023.03.01	2022.12.14	not applicable	CAS, CIS	2022.12.03	None	0.4216778556268240	29.46338541666670	2	5	Many enhancers exist as clusters in the genome and control cell identity and disease genes; however, the underlying mechanism remains largely unknown. Here, we introduce an algorithm, eNet, to build enhancer networks by integrating single-cell chromatin accessibility and gene expression profiles. The complexity of enhancer networks is assessed by two metrics: the number of enhancers and the frequency of predicted enhancer interactions (PEIs) based on chromatin co-accessibility. We apply eNet algorithm to a human blood dataset and find cell identity and disease genes tend to be regulated by complex enhancer networks. The network hub enhancers (enhancers with frequent PEIs) are the most functionally important. Compared with super-enhancers, enhancer networks show better performance in predicting cell identity and disease genes. eNet is robust and widely applicable in various human or mouse tissues datasets. Thus, we propose a model of enhancer networks containing three modes: Simple, Multiple and Complex, which are distinguished by their complexity in regulating gene expression. Taken together, our work provides an unsupervised approach to simultaneously identify key cell identity and disease genes and explore the underlying regulatory relationships among enhancers in single cells.	Signac, Seurat, cicero, monocle3	Genome background	Complexity of enhancer networks predicts cell identity and disease genes revealed by single-cell multi-omics analysis	31.27089325	17.99146262	9.055967913	None	5	Hong D, Lin H, Liu L, Shu M, Dai J, Lu F, Tong M, Huang J. Complexity of enhancer networks predicts cell identity and disease genes revealed by single-cell multi-omics analysis. Briefings in Bioinformatics. 2023 Jan;24(1):bbac508.	None
scMaui	Python	0	multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq, snmC-seq)	We introduce a new single-cell multiomics integration model, Single-cell Multiomics Autoencoder Integration (scMaui) based on stacked variational encoders and adversarial learning. scMaui reduces the dimensionality of integrated data modalities to a latent space which outlines cellular heterogeneity.	10.1101/2023.01.18.524506	Preprint	Preprint	https://github.com/BIMSBbioinfo/scmaui	2023.03.01	2023.03.01	2023.01.23	variational autoencoder	CAS, Meth	2023.01.20	GNU General Public License	0		1	2	The recent advances in high-throughput single-cell sequencing has significantly required computational models which can address the high complexity of single-cell multiomics data. Meticulous single-cell multiomics integration models are required to avoid biases towards a specific modality and overcome the sparsity. Batch effects obfuscating biological signals must also be taken into account. Here, we introduce a new single-cell multiomics integration model, Single-cell Multiomics Autoencoder Integration (scMaui) based on stacked variational encoders and adversarial learning. scMaui reduces the dimensionality of integrated data modalities to a latent space which outlines cellular heterogeneity. It can handle multiple batch effects independently accepting both discrete and continuous values, as well as provides varied reconstruction loss functions to cover various assays and preprocessing pipelines. We show that scMaui accomplishes superior performance in many tasks compared to other methods. Further downstream analyses also demonstrate its potential in identifying relations between assays and discovering hidden subpopulations.	scikit-learn, tensorflow, scanpy, anndata	None	Decoding Single-Cell Multiomics: scMaui - A Deep Learning Framework for Uncovering Cellular Heterogeneity in Presence of Batch Effects and Missing Data	7.230893916	5.950812557	5.408098144	10.1101/2023.01.18.524506	2	Jeong Y, Ronen J, Kopp W, Lutsik P, Akalin A. Decoding single-cell multiomics: scMaui-A deep learning framework for uncovering cellular heterogeneity in presence of batch Effects and missing data. bioRxiv. 2023:2023-01.	None
MAbID	R, Python	0	sequencing technology & application	sequencing technology	We introduce MAbID, a method that combines genomic profiling of many histone modifications and chromatin-binding proteins in a single reaction.	10.1101/2023.01.18.524584	Preprint	Preprint	https://github.com/KindLab/MAbID	2023.03.01	2023.03.01	2023.01.07	not applicable	Hist	2023.01.20	MIT	0		1	0	Gene expression programs result from the collective activity of many regulatory factors. To obtain insight into the mechanisms that govern gene regulation, it is imperative to study their combined mode of action and interconnectivity. However, it has been challenging to simultaneously measure a combination of these factors within one sample. Here, we introduce MAbID, a method that combines genomic profiling of many histone modifications and chromatin-binding proteins in a single reaction. MAbID employs antibody-DNA conjugates to enable genomic barcoding of chromatin at sites of epitope occupancy. This barcoding strategy allows for the combined incubation of multiple antibodies in a single sample to reveal the genomic distributions of many epigenetic states simultaneously. We used MAbID to profile both active and inactive chromatin types in human cell lines and multiplexed measurements in the same sample without loss of data quality. Moreover, we obtained joint measurements of six epitopes covering all major chromatin types in single cells during mouse in vitro neural differentiation and captured associated changes in multifactorial chromatin states. Thus, MAbID holds the potential to gain unique insights into the interplay between gene regulatory mechanisms, especially in settings with limited sample material and in single cells.	Bowtie2, Cutadapt, samtools, scDamAndTools	None	Combinatorial single-cell profiling of all major chromatin types with MAbID	4.690334761	3.915672769	4.772958355	10.1101/2023.01.18.524584	1	Lochs SJ, van der Weide RH, de Luca KL, Korthout T, van Beek RE, Kimura HJ, Kind J. Combinatorial single-cell profiling of all major chromatin types with MAbID. bioRxiv. 2023:2023-01.	None
scMoMaT	R, Python	0	multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq, protein)	We propose scMoMaT, a method that is able to integrate single cell multi-omics data under the mosaic integration scenario using matrix tri-factorization.	10.1038/s41467-023-36066-2	Nature Communications	Published	https://github.com/PeterZZQ/scMoMaT	2023.03.01	2023.03.01	2023.01.11	matrix tri-factorization	CAS	2023.01.24	MIT	0		1	7	Single cell data integration methods aim to integrate cells across data batches and modalities, and data integration tasks can be categorized into horizontal, vertical, diagonal, and mosaic integration, where mosaic integration is the most general and challenging case with few methods developed. We propose scMoMaT, a method that is able to integrate single cell multi-omics data under the mosaic integration scenario using matrix tri-factorization. During integration, scMoMaT is also able to uncover the cluster specific bio-markers across modalities. These multi-modal bio-markers are used to interpret and annotate the clusters to cell types. Moreover, scMoMaT can integrate cell batches with unequal cell type compositions. Applying scMoMaT to multiple real and simulated datasets demonstrated these features of scMoMaT and showed that scMoMaT has superior performance compared to existing methods. Specifically, we show that integrated cell embedding combined with learned bio-markers lead to cell type annotations of higher quality or resolution compared to their original annotations.	torch, scipy, sklearn, leidenalg, adjustText	MultiMap, UINMF, Stabmap	scMoMaT jointly performs single cell mosaic integration and multi-modal bio-marker detection	15.75191542	14.06443053	10.14224695	None	8	Zhang Z, Sun H, Mariappan R, Chen X, Chen X, Jain MS, Efremova M, Teichmann SA, Rajan V, Zhang X. scMoMaT jointly performs single cell mosaic integration and multi-modal bio-marker detection. Nature Communications. 2023 Jan 24;14(1):384.	None
Pairtools	Python, Shell	0	preprocessing	contact pair manipulation, feature selection, quality control	a suite of flexible and performant tools for converting sequenced 3C+ libraries into captured chromosome contacts	10.1101/2023.02.13.528389	Preprint	Preprint	https://github.com/open2c/pairtools/	2023.03.01	2023.03.01	2023.02.16	not applicable	CIS	2023.02.15	MIT	1.193494281815500	17.40097222222220	1	64	The field of 3D genome organization produces large amounts of sequencing data from Hi-C and a rapidly-expanding set of other chromosome conformation protocols (3C+). Massive and heterogeneous 3C+ data require high-performance and flexible processing of sequenced reads into contact pairs. To meet these challenges, we present pairtools – a flexible suite of tools for contact extraction from sequencing data. Pairtools provides modular command-line interface (CLI) tools that can be flexibly chained into data processing pipelines. Pairtools provides both crucial core tools as well as auxiliary tools for building feature-rich 3C+ pipelines, including contact pair manipulation, filtration, and quality control. Benchmarking pairtools against popular 3C+ data pipelines shows advantages of pairtools for high-performance and flexible 3C+ analysis. Finally, pairtools provides protocol-specific tools for multi-way contacts, haplotype-resolved contacts, and single-cell Hi-C. The combination of CLI tools and tight integration with Python data analysis libraries makes pairtools a versatile foundation for a broad range of 3C+ pipelines.	cython, pysam, bioframe, pyyaml, numpy, scipy, pandas, click, sort, bgzip, samtools	None	Pairtools: from sequencing data to chromosome contacts	73.73149635	46.05138678	13.05121758	10.1101/2023.02.13.528389	3	Open2C, Abdennur N, Fudenberg G, Flyamer IM, Galitsyna AA, Goloborodko A, Imakaev M, Venev SV. Pairtools: from sequencing data to chromosome contacts. bioRxiv. 2023:2023-02.	None
scEpiSearch	R, Python, CSS	0	multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq)	We present scEpiSearch, which enables searching, comparison, and independent classification of single-cell open-chromatin profiles against a large reference of single-cell expression and open-chromatin data sets.	10.1101/gr.277015.122	Genome Research	Published	https://github.com/reggenlab/scEpiSearch	2023.03.01	2023.03.01	2022.09.27	not applicable	CAS	2023.01.18	MIT	0		1	0	The true benefits of large single-cell transcriptome and epigenome data sets can be realized only with the development of new approaches and search tools for annotating individual cells. Matching a single-cell epigenome profile to a large pool of reference cells remains a major challenge. Here, we present scEpiSearch, which enables searching, comparison, and independent classification of single-cell open-chromatin profiles against a large reference of single-cell expression and open-chromatin data sets. Across performance benchmarks, scEpiSearch outperformed multiple methods in accuracy of search and low-dimensional coembedding of single-cell profiles, irrespective of platforms and species. Here we also demonstrate the unconventional utilities of scEpiSearch by applying it on single-cell epigenome profiles of K562 cells and samples from patients with acute leukaemia to reveal different aspects of their heterogeneity, multipotent behavior, and dedifferentiated states. Applying scEpiSearch on our single-cell open-chromatin profiles from embryonic stem cells (ESCs), we identified ESC subpopulations with more activity and poising for endoplasmic reticulum stress and unfolded protein response. Thus, scEpiSearch solves the nontrivial problem of amalgamating information from a large pool of single cells to identify and study the regulatory states of cells using their single-cell epigenomes.	None	None	Matching queried single-cell open-chromatin profiles to large pools of single-cell transcriptomes and epigenomes for reference supported analysis	6.651697562	8.590534353	7.03829433	10.1101/2021.03.24.436738	7	Mishra S, Pandey N, Chawla S, Sharma M, Chandra O, Jha IP, SenGupta D, Natarajan KN, Kumar V. Matching queried single-cell open-chromatin profiles to large pools of single-cell transcriptomes and epigenomes for reference supported analysis. Genome Research. 2023 Jan 18.	Mus musculus, mESC
scTriangulate	R, Python, CSS	0	multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq)	We describe scTriangulate, a computational framework to mix-and-match multiple clustering results, modalities, associated algorithms, and resolutions to achieve an optimal solution.	10.1038/s41467-023-36016-y	Nature Communications	Published	https://github.com/frankligy/scTriangulate	2023.03.01	2023.03.01	2023.01.25	not applicable	CAS	2023.01.25	MIT	0.9163606020730690	18.15830439814820	1	20	Decisively delineating cell identities from uni- and multimodal single-cell datasets is complicated by diverse modalities, clustering methods, and reference atlases. We describe scTriangulate, a computational framework to mix-and-match multiple clustering results, modalities, associated algorithms, and resolutions to achieve an optimal solution. Rather than ensemble approaches which select the “consensus”, scTriangulate picks the most stable solution through coalitional iteration. When evaluated on diverse multimodal technologies, scTriangulate outperforms alternative approaches to identify high-confidence cell-populations and modality-specific subtypes. Unlike existing integration strategies that rely on modality-specific joint embedding or geometric graphs, scTriangulate makes no assumption about the distributions of raw underlying values. As a result, this approach can solve unprecedented integration challenges, including the ability to automate reference cell-atlas construction, resolve clonal architecture within molecularly defined cell-populations and subdivide clusters to discover splicing-defined disease subtypes. scTriangulate is a flexible strategy for unified integration of single-cell or multimodal clustering solutions, from nearly unlimited sources.	squidpy, gseapy, scrublet, yattag, anytree, mygene	HGPA, MCLA	Decision level integration of unimodal and multimodal single cell data with scTriangulate	30.54403744	20.89251293	10.01678681	None	5	Li G, Song B, Singh H, Surya Prasath VB, Leighton Grimes H, Salomonis N. Decision level integration of unimodal and multimodal single cell data with scTriangulate. Nature Communications. 2023 Jan 25;14(1):406.	None
scTopoGAN	Python	1	multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq)	We present scTopoGAN, a method for unsupervised manifold alignment of single-cell datasets with non-overlapping cells or features.	10.1101/2022.04.27.489829	Preprint	Preprint	https://github.com/AkashCiel/scTopoGAN	2023.03.01	2023.03.01	2023.01.25	generative adversarial network	CAS	2023.01.25	None	0		1	0	Motivation: Single-cell technologies allow deep characterization of different molecular aspects of cells. Integrating these modalities provides a comprehensive view of cellular identity. Current integration methods rely on overlapping features or cells to link datasets measuring different modalities, limiting their application to experiments where different molecular layers are profiled in different subsets of cells. Results: We present scTopoGAN, a method for unsupervised manifold alignment of single-cell datasets with non-overlapping cells or features. We use topological autoencoders to obtain latent representations of each modality separately. A topology-guided Generative Adversarial Network then aligns these latent representations into a common space. We show that scTopoGAN outperforms state-of-the-art manifold alignment methods in complete unsupervised settings. Interestingly, the topological autoencoder for individual modalities also showed better performance in preserving the original structure of the data in the low-dimensional representations when compared to other manifold projection methods. Taken together, we show that the concept of topology preservation might be a powerful tool to align multiple single modality datasets, unleashing the potential of multi-omic interpretations of cells.	torch, numpy, pandas	VAE, AE	scTopoGAN: Unsupervised manifold alignment of single-cell data	6.106588243	5.06844653	6.581845742	None	2	Singh A, Reinders MJ, Mahfouz A, Abdelaal T. scTopoGAN: unsupervised manifold alignment of single-cell data. bioRxiv. 2022 Apr 29:2022-04.	None
SnapCCESS	Python	0	multi-omics integration, dimensionality reduction, clustering	multi-omics integration (scDNA-seq, scATAC-seq, protein), dimensionality reduction, clustering	an ensemble clustering framework that uses VAE and the snapshot ensemble learning technique to learn multiple embeddings each encoding multiple data modalities, and subsequently generate consensus clusters for multimodal single-cell omics data by combining clusters from each embedding	10.1101/2023.02.22.529627	Preprint	Preprint	https://github.com/yulijia/SnapCCESS	2023.03.01	2023.03.01	2023.02.22	variational autoencoder, snapshot ensemble learning	CAS	2023.02.23	None	0		1	0	Recent advances in multimodal single-cell omics technologies enable multiple modalities of molecular attributes, such as gene expression, chromatin accessibility, and protein abundance, to be profiled simultaneously at a global level in individual cells. While the increasing availability of multiple data modalities is expected to provide a more accurate clustering and characterisation of cells, the development of computational methods that are capable of extracting information embedded across data modalities is still in its infancy. We propose SnapCCESS for clustering cells by integrating data modalities in multimodal singlecell omics data using an unsupervised ensemble deep learning framework. By creating snapshots of embeddings of multimodality using variational autoencoders, SnapCCESS can be coupled with various clustering algorithms for generating consensus clustering of cells. We applied SnapCCESS with several clustering algorithms to various datasets generated from popular multimodal single-cell omics technologies. Our results demonstrate that SnapCCESS is effective and more efficient than conventional ensemble deep learning-based clustering methods and outperforms other state-of-the-art multimodal embedding generation methods in integrating data modalities for clustering cells. The improved clustering of cells from SnapCCESS will pave the way for more accurate characterisation of cell identity and types, an essential step for various downstream analyses of multimodal single-cell omics data.	None	Jvis-learn, totalVI, MultiVI, MOFA+	Ensemble deep learning of embeddings for clustering multimodal single-cell omics data	9.584450339	9.213691786	10.42450976	10.1101/2023.02.22.529627	6	Yu L, Liu C, Yang JY, Yang P. Ensemble deep learning of embeddings for clustering multimodal single-cell omics data. bioRxiv. 2023:2023-02.	None
